phase,h_ae,mid_ae,h_se,mid_se,algorithm,market,seed
auction,0.0359108057645726,0.11009999999999888,0.003635881425123501,0.022772999999999613,sac,CAT,2024
clob,0.12057037787471833,0.1376062271460532,0.031476141766403475,0.035993960181817594,sac,CAT,2024
auction,0.03598912453296649,0.13190000000000038,0.003035698077820751,0.03123099999999998,sac,CAT,2718
clob,0.12777876685715062,0.14802764311946592,0.03551927243333184,0.04070204493296712,sac,CAT,2718
auction,0.031148498299379913,0.12449999999999886,0.0022595316006568597,0.027148999999999826,sac,CAT,314
clob,0.11283534490157543,0.1319792779667797,0.029649371913118804,0.03422130175322289,sac,CAT,314
auction,0.028983756837510703,0.12099999999999919,0.0018738815574058394,0.022981999999999624,sac,CAT,42
clob,0.10798740235904351,0.12504864213896452,0.02477080368843541,0.0290203247545151,sac,CAT,42
auction,0.031253653999074746,0.11879999999999864,0.0021537772630297347,0.025847999999999663,sac,CAT,577
clob,0.1088557217952839,0.13035340000721107,0.026186520246053915,0.031960840661345254,sac,CAT,577
auction,0.03312727308811691,0.12439999999999837,0.002465636371699911,0.02784199999999961,sac,CAT,7
clob,0.1046812655743422,0.1235655744995176,0.023950750943942545,0.028277464609834612,sac,CAT,7
auction,0.03463032561677794,0.13229999999999872,0.002497506761983844,0.031044999999999434,sac,CAT,811
clob,0.11562114226937867,0.13234949501781135,0.028395558308618014,0.03259234115138205,sac,CAT,811
auction,0.03379653613244902,0.11579999999999839,0.002492815909974673,0.02260999999999949,sac,CAT,99
clob,0.1114258801775278,0.12825590103539466,0.026455834521516054,0.031131283685278354,sac,CAT,99
auction,0.02779563683542124,0.1021000000000006,0.002334614868545581,0.017499000000000094,sac,GOOGL,123
clob,0.07729704244862211,0.0962819815752864,0.013076372517862195,0.01723802285038938,sac,GOOGL,123
auction,0.025266961620055938,0.10080000000000064,0.001444436996502362,0.0148440000000001,sac,GOOGL,1618
clob,0.07609780450159456,0.09474888849198283,0.010733133150134279,0.015180909040388806,sac,GOOGL,1618
auction,0.03012597467920251,0.1125000000000011,0.0025190075483684737,0.02046900000000021,sac,GOOGL,2024
clob,0.09488694352201829,0.1123148988794018,0.018735723204050734,0.022812745359415007,sac,GOOGL,2024
auction,0.02571061280894243,0.1242000000000007,0.0016853300638468183,0.024242000000000298,sac,GOOGL,2718
clob,0.08786126584776531,0.10650934260196887,0.01416642840195139,0.019339366371919922,sac,GOOGL,2718
auction,0.023372969109960715,0.08950000000000113,0.0011860321333055594,0.014087000000000289,sac,GOOGL,314
clob,0.07434377522183572,0.09408002282197167,0.00988118566955366,0.01483837380500485,sac,GOOGL,314
auction,0.023870518799418726,0.08870000000000199,0.0013806782829058292,0.012159000000000317,sac,GOOGL,42
clob,0.08090694908117847,0.09713912282932424,0.01335369051693786,0.017426204324642057,sac,GOOGL,42
auction,0.027396361368132206,0.09820000000000075,0.0028734128253352365,0.015760000000000253,sac,GOOGL,577
clob,0.0756511063746415,0.09359996859923565,0.010713017350446837,0.014871358862790292,sac,GOOGL,577
auction,0.0266135406417975,0.10390000000000083,0.002182850337692979,0.016259000000000252,sac,GOOGL,7
clob,0.07648143347921874,0.09476321106670933,0.01073475978569269,0.015020615805424657,sac,GOOGL,7
auction,0.027594887150362846,0.10020000000000034,0.002932660001349028,0.01770000000000009,sac,GOOGL,811
clob,0.08633598912174108,0.1048477128369976,0.01688940860743046,0.021207257700868523,sac,GOOGL,811
auction,0.028230020947457763,0.10240000000000105,0.0016799105757842178,0.017732000000000185,sac,GOOGL,99
clob,0.07826964251154832,0.09606411350292385,0.010941129309071979,0.015279977497279855,sac,GOOGL,99
auction,0.032381622781088,0.14850000000000205,0.002777124570771638,0.029141000000000795,sac,JPM,123
clob,0.1119413924215861,0.128656696743319,0.023766304275992023,0.02790806148397383,sac,JPM,123
auction,0.032736462723558415,0.13880000000000106,0.0022432365730963026,0.025842000000000465,sac,JPM,1618
clob,0.11417078142579914,0.13133338489844135,0.023470618354984957,0.0275542907319085,sac,JPM,1618
