setting,policy,env_seed,pnl,objective,auction_qty
synthetic,as,1355969104,53.27376025549711,53.221578571823635,0.0
synthetic,as,1764842796,53.1873055450269,52.80863937473267,0.0
synthetic,as,1383645732,53.97266088720244,53.81996861860195,0.0
synthetic,as,1985479305,26.40548157315061,25.963501196303884,0.0
synthetic,as,864111288,76.00026830397292,75.81527008703128,0.0
synthetic,as,2081685987,45.06672390070344,44.576225403711085,0.0
synthetic,as,1895926547,63.767906652657985,63.49489153927451,0.0
synthetic,as,1398741270,46.33844454686732,46.22031352549108,0.0
synthetic,as,2009557513,19.96359853812828,19.96359853812828,0.36194927239790076
synthetic,as,1103201918,42.79649712120954,42.79325164500073,0.0
synthetic,as,361761065,32.02139800257828,31.673568854583966,0.0
synthetic,as,1240980348,40.596457208901484,40.17906394942852,0.0
synthetic,as,997980576,8.448832195419527,8.448549815836957,0.0
synthetic,as,1364962393,48.99327110798731,48.65870350799309,0.0
synthetic,as,356954267,42.530769324899666,42.53018465910601,0.0
synthetic,as,1167316122,30.928630080839866,30.555680673637827,0.0
synthetic,as,1158524309,13.132348501716478,13.124097664123482,0.0
synthetic,as,1547310865,63.28909759387716,63.11403462294059,0.0
synthetic,as,1409501092,19.74718350610965,19.715401643436227,0.0
synthetic,as,227509318,15.966990813594748,15.651477982901799,0.0
synthetic,as,968065134,28.447126520646634,28.251395529905967,0.0
synthetic,as,2097409267,72.85988062290744,72.84960233560493,0.0
synthetic,as,202934377,39.229921006008226,39.08577442402369,0.0
synthetic,as,1117479723,54.80647240942926,54.75990992468675,0.0
synthetic,as,1948070446,13.085961067530661,12.594570882201484,0.0
synthetic,as,309215797,10.880304441225235,10.88030056468092,0.38921201761841306
synthetic,as,1001532050,22.919516360980197,22.919516360980197,0.7648296689708458
synthetic,as,994774750,28.25617010463793,27.899781509109673,0.0
synthetic,as,61060762,33.24056705030489,33.221052697065296,0.0
synthetic,as,449593739,28.07422606299042,27.95606681684643,0.0
synthetic,as,603013079,62.12171602672424,61.66654861039064,0.0
synthetic,as,874551896,68.2442503859711,68.24420942414193,0.9531469398138288
synthetic,as,213603552,73.04509188601332,72.85168362665583,0.0
synthetic,as,1740456870,63.313357450377225,63.08695675808682,0.0
synthetic,as,732692615,33.45029569940925,33.450122619337215,0.0
synthetic,as,192634188,23.139545557705787,23.12730190871657,0.0
synthetic,as,744804721,63.37016770666196,63.16609652276928,0.0
synthetic,as,76594293,59.62935585592095,59.227518689867345,0.0
synthetic,as,1530334568,26.115876851057692,25.788533499375216,0.0
synthetic,as,553623364,54.462529837650436,54.25850670713531,0.0
synthetic,as,1894087679,56.16943757866102,55.74144224288589,0.0
synthetic,as,94550601,34.482535714538244,34.301784953292916,0.0
synthetic,as,37364028,39.570453671864016,39.26345474654301,0.0
synthetic,as,612614785,16.14551871024196,15.646555488901656,0.0
synthetic,as,851507639,52.54570560394495,52.35106538238941,0.0
synthetic,as,2075766370,77.46674996381444,77.46671245924954,0.3583924209850292
synthetic,as,1519039213,46.38888074035822,46.11419900163198,0.0
synthetic,as,1008287579,41.05404398728024,41.03452064293859,0.0
synthetic,as,1346315091,43.037821603493285,42.67085544285456,0.0
synthetic,as,1039067522,-5.648867715961387,-5.689395562591956,0.0
synthetic,as,962972765,55.159550228037915,55.14296976697515,0.0
synthetic,as,1638957559,32.25022961308605,32.21747579012084,0.0
synthetic,as,789187642,39.44828346025315,38.99638053880241,0.0
synthetic,as,2007414648,66.73280461888135,66.71397382579671,0.0
synthetic,as,1710040823,60.25159001260363,60.04167091450894,0.0
synthetic,as,350402779,34.02604652379523,34.02470634865675,0.0
synthetic,as,1690655709,51.20172294757322,50.95750277097499,0.0
synthetic,as,1979491417,57.91697840826055,57.89126224733571,0.0
synthetic,twap,1585822808,32.45000000000255,30.450000000002547,0.0
synthetic,twap,984521277,-6.350000000000364,-8.350000000000364,0.0
synthetic,twap,1615630773,4.549999999999272,4.549999999999272,0.0
synthetic,twap,985921782,5.400000000003274,5.400000000003274,0.0
synthetic,twap,1788653630,-5.249999999994543,-29.749999999994543,0.0
synthetic,twap,444732558,-8.281336987787654,-8.281336987787654,0.23732602442212603
synthetic,twap,67196417,-8.736067370684395,-9.141835634251214,0.029917634670528485
synthetic,twap,1773553992,21.650000000005093,19.650000000005093,0.0
synthetic,twap,148538406,12.599999999998545,12.599999999998545,0.0
synthetic,twap,459302025,-25.099999999998545,-25.599999999998545,0.0
synthetic,twap,1210500584,-33.31678858345367,-33.31954211115659,2.925790462837658
synthetic,twap,1639125072,34.00000000000364,34.00000000000364,2.0
synthetic,twap,1152564586,33.95000000000073,33.95000000000073,5.0
synthetic,twap,2055578956,33.600000000000364,33.600000000000364,0.0
synthetic,twap,1352909904,28.450000000000728,28.450000000000728,0.0
synthetic,twap,1321498069,39.143131256840206,39.12737871192861,0.0200609343527765
synthetic,twap,2062231672,47.176604840076834,40.93875093246369,0.46790319849154044
synthetic,twap,1458235927,7.15000000001055,7.15000000001055,0.0
synthetic,twap,1827455806,24.05000000000109,24.05000000000109,0.0
synthetic,twap,193140014,15.200000000002547,15.200000000002547,0.0
synthetic,twap,389603938,-3.9762180868801806,-4.104375270517199,0.24617040883377792
synthetic,twap,2023655374,8.200000000002547,8.200000000002547,0.0
synthetic,twap,1677194741,52.79999999999927,52.79999999999927,0.0
synthetic,twap,396575567,5.11401395070061,4.855014801911344,0.0
synthetic,twap,90257200,-30.5,-43.0,0.0
synthetic,twap,707844845,-32.24999999999818,-32.24999999999818,0.0
synthetic,twap,453402989,-40.100000000000364,-40.100000000000364,0.0
synthetic,twap,1840954569,50.100000000004,50.100000000004,0.0
synthetic,twap,582179270,-25.384960995537767,-25.384960995537767,0.6304407094122535
synthetic,twap,475919068,-4.000000000001819,-4.000000000001819,0.0
synthetic,twap,1094560733,10.299999999997453,10.299999999997453,5.0
