calibration,reserve,schedule,alpha,beta,depth_scale,seed,inventory_open,auction_fill,inventory_final,pnl,objective,shaped_return,interim_credit,clearing_displacement,k_star,q,lambda_inv
penny_b20,20,last10,0.01,0.2,10.0,1050297464.25,20.396222864227127,5.78122285493102,14.615000009296105,5.494012480059041,-103.03617947013187,535.8752681228001,641.0016000000188,-0.05624999999999678,10000.0,,
penny_b20,20,noop,0.01,0.2,10.0,1050297464.25,20.396222864227127,0.0,20.396222864227127,5.87116495878081,-202.17131640722158,-204.26146881430836,0.0,-0.05062499999999657,10000.0,,
penny_small,0,all,0.01,0.002,1.0,1050297464.25,0.6446405469345726,0.18563606125354354,0.4590044856810291,1.872632848984722,1.752699688786927,17.915133515520097,19.238514377713948,-0.03499999999999835,10000.0,,
penny_small,0,last1,0.01,0.002,1.0,1050297464.25,0.6446405469345726,0.0063119396795490185,0.6383286072550236,1.8746589087219265,1.6593492765090756,-0.7756392744723336,0.6410920000000149,-0.03374999999999772,10000.0,,
penny_small,0,last10,0.01,0.002,1.0,1050297464.25,0.6446405469345726,0.06151659045599404,0.5831239564785785,1.8741707928787719,1.6922811252048424,5.0272405742235975,6.411040000000142,-0.03437499999999804,10000.0,,
penny_small,0,noop,0.01,0.002,1.0,1050297464.25,0.6446405469345726,0.0,0.6446405469345726,1.8748765917951005,1.6555257739729874,-1.4205547770082019,0.0,-0.03374999999999772,10000.0,,
penny_small,10,all,0.01,0.002,1.0,1050297464.25,10.475072351594124,0.18563606125354354,10.28943629034058,3.86021010668685,-49.11447777744029,-32.46325679882612,19.238514377713948,-0.03499999999999835,10000.0,,
penny_small,10,last1,0.01,0.002,1.0,1050297464.25,10.475072351594124,0.0063119396795490185,10.468760411914573,3.8622361664237133,-50.97691848842992,-52.923119887530035,0.6410920000000149,-0.03374999999999772,10000.0,,
penny_small,10,last10,0.01,0.002,1.0,1050297464.25,10.475072351594124,0.06151659045599404,10.413555761138129,3.8617480505803314,-50.39966173479079,-46.57591513389045,6.411040000000142,-0.03437499999999804,10000.0,,
penny_small,10,noop,0.01,0.002,1.0,1050297464.25,10.475072351594124,0.0,10.475072351594124,3.8624538494968874,-51.04280768008432,-53.630101079184186,0.0,-0.03374999999999772,10000.0,,
penny_small,20,all,0.01,0.002,1.0,1050297464.25,20.396222864227127,0.18563606125354354,20.21058680297358,5.868921215970886,-198.41176289625264,-181.2634009256255,19.238514377713948,-0.03499999999999835,10000.0,,
penny_small,20,last1,0.01,0.002,1.0,1050297464.25,20.396222864227127,0.0063119396795490185,20.38991092454758,5.870947275707522,-202.04283356402414,-203.49189397111104,0.6410920000000149,-0.03374999999999772,10000.0,,
penny_small,20,last10,0.01,0.002,1.0,1050297464.25,20.396222864227127,0.06151659045599404,20.334706273771133,5.870459159864481,-200.9211889263781,-196.60030133346487,6.411040000000142,-0.03437499999999804,10000.0,,
penny_small,20,noop,0.01,0.002,1.0,1050297464.25,20.396222864227127,0.0,20.396222864227127,5.87116495878081,-202.17131640722158,-204.26146881430836,0.0,-0.03374999999999772,10000.0,,
v15,0,all,0.05,0.002,1.0,1050297464.25,0.6446405469345726,0.9141401173995903,-0.26949957046501766,5.771404155851201,5.715098616444087,101.79332581576926,96.21209475377144,-0.018749999999998913,100000.0,0.0,0.5
v15,0,last1,0.05,0.002,1.0,1050297464.25,0.6446405469345726,0.03146699367749693,0.6131735532570757,5.788453506218389,5.588925553220145,8.661157998774547,3.2061000000000175,-0.0156249999999991,100000.0,0.0,0.5
v15,0,last10,0.05,0.002,1.0,1050297464.25,0.6446405469345726,0.3068534871120957,0.33778705982247687,5.786515915267614,5.716788963412401,37.64772140896671,32.064800000000176,-0.0156249999999991,100000.0,0.0,0.5
v15,0,noop,0.05,0.002,1.0,1050297464.25,0.6446405469345726,0.0,0.6446405469345726,5.788999208475161,5.569648390653048,5.435780836207179,0.0,-0.0156249999999991,100000.0,0.0,0.5
v15,10,all,0.05,0.002,1.0,1050297464.25,10.475072351594124,0.9141401173995903,9.560932234194533,7.34722201989223,-38.400801744922994,57.69000562277798,96.21209475377144,-0.018749999999998913,100000.0,0.0,0.5
v15,10,last1,0.05,0.002,1.0,1050297464.25,10.475072351594124,0.03146699367749693,10.443605357916626,7.3642713702594165,-47.21183398872484,-44.127021374794595,3.2061000000000175,-0.0156249999999991,100000.0,0.0,0.5
v15,10,last10,0.05,0.002,1.0,1050297464.25,10.475072351594124,0.3068534871120957,10.168218864482027,7.3623337793088695,-44.37559716465055,-12.4320845507206,32.064800000000176,-0.0156249999999991,100000.0,0.0,0.5
v15,10,noop,0.05,0.002,1.0,1050297464.25,10.475072351594124,0.0,10.475072351594124,7.364817072516303,-47.54044445706491,-47.66173184313507,0.0,-0.0156249999999991,100000.0,0.0,0.5
v15,20,all,0.05,0.002,1.0,1050297464.25,20.396222864227127,0.9141401173995903,19.482082746827537,8.913889057687129,-180.9050494529226,-84.79970404442405,96.21209475377144,-0.018749999999998913,100000.0,0.0,0.5
v15,20,last1,0.05,0.002,1.0,1050297464.25,20.396222864227127,0.03146699367749693,20.36475587054963,8.930938408055113,-198.47008559014554,-195.3707349354186,3.2061000000000175,-0.0156249999999991,100000.0,0.0,0.5
v15,20,last10,0.05,0.002,1.0,1050297464.25,20.396222864227127,0.3068534871120957,20.08936937711503,8.929000817103883,-192.90470189977543,-160.9466512450481,32.064800000000176,-0.0156249999999991,100000.0,0.0,0.5
v15,20,noop,0.05,0.002,1.0,1050297464.25,20.396222864227127,0.0,20.396222864227127,8.931484110311203,-199.1109972556912,-199.21774660096384,0.0,-0.0156249999999991,100000.0,0.0,0.5
